	ARUA	BOMBO	BUKALASA	BUTIABA	DWOLI	ENTEBBE AIR	FT PORTAL	GONDOKORO	GULU	HOIMA	JINJA	KABALE	KAMPALA	KAMULI	KASESE	KITGUM	KOLOLO HILLS, KAMPALA	LIRA	MASAKA	MASINDI	MBALE	MBARARA	MOROTO	MOYO	MUBENDE	NAGICHOT	NIMULE	SERERE	SIMSA	SOROTI	TORORO	WADELIA
1900.04	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1900.13	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1900.21	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1900.29	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1900.38	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1900.46	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1900.54	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1900.63	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1900.71	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1900.79	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1900.88	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1900.96	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1901.04	-99.00	-99.00	-99.00	-99.00	-99.00	20.78	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1901.13	-99.00	-99.00	-99.00	-99.00	-99.00	19.56	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1901.21	-99.00	-99.00	-99.00	-99.00	-99.00	18.61	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1901.29	-99.00	-99.00	-99.00	-99.00	-99.00	18.28	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1901.38	-99.00	-99.00	-99.00	-99.00	-99.00	19.22	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	13.72	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1901.46	-99.00	-99.00	-99.00	-99.00	-99.00	18.89	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	13.33	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1901.54	-99.00	-99.00	-99.00	-99.00	-99.00	17.89	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	12.67	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1901.63	-99.00	-99.00	-99.00	-99.00	-99.00	17.10	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	12.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1901.71	-99.00	-99.00	-99.00	-99.00	-99.00	17.89	14.11	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1901.79	-99.00	-99.00	-99.00	-99.00	-99.00	17.94	14.22	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1901.88	-99.00	-99.00	-99.00	-99.00	-99.00	18.30	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1901.96	-99.00	-99.00	-99.00	-99.00	-99.00	18.11	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1902.04	-99.00	-99.00	-99.00	-99.00	-99.00	17.83	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1902.13	-99.00	-99.00	-99.00	-99.00	-99.00	18.11	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1902.21	-99.00	-99.00	-99.00	-99.00	-99.00	18.28	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1902.29	-99.00	-99.00	-99.00	-99.00	-99.00	18.28	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1902.38	-99.00	-99.00	-99.00	-99.00	-99.00	18.39	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1902.46	-99.00	-99.00	-99.00	-99.00	-99.00	17.22	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	12.50	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1902.54	-99.00	-99.00	-99.00	-99.00	-99.00	16.78	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.60	-99.00	-99.00	13.94	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	19.11
1902.63	-99.00	-99.00	-99.00	-99.00	-99.00	16.50	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	16.39	-99.00	-99.00	14.17	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1902.71	-99.00	-99.00	-99.00	-99.00	-99.00	17.11	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	14.06	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1902.79	-99.00	-99.00	-99.00	-99.00	-99.00	17.06	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.90	-99.00	-99.00	14.28	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1902.88	-99.00	-99.00	-99.00	-99.00	-99.00	17.67	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.70	-99.00	-99.00	14.61	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	20.50
1902.96	-99.00	-99.00	-99.00	-99.00	-99.00	17.44	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.70	-99.00	-99.00	11.89	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1903.04	-99.00	-99.00	-99.00	-99.00	-99.00	17.83	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	16.11	-99.00	-99.00	15.56	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	20.83
1903.13	-99.00	-99.00	-99.00	-99.00	-99.00	18.67	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	16.78	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	20.56
1903.21	-99.00	-99.00	-99.00	-99.00	-99.00	18.56	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	16.11	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	22.50
1903.29	-99.00	-99.00	-99.00	-99.00	-99.00	18.39	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.83	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	22.11
1903.38	-99.00	-99.00	-99.00	-99.00	-99.00	17.72	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.78	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	22.28
1903.46	-99.00	-99.00	-99.00	-99.00	-99.00	17.39	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.56	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	21.44
1903.54	-99.00	-99.00	-99.00	-99.00	-99.00	16.83	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	14.56	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	19.72
1903.63	-99.00	-99.00	-99.00	-99.00	-99.00	16.22	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	14.83	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1903.71	-99.00	-99.00	-99.00	-99.00	-99.00	16.83	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	14.94	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1903.79	-99.00	-99.00	-99.00	-99.00	-99.00	17.22	15.50	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.00	-99.00	-99.00	18.50	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00
1903.88	-99.00	-99.00	-99.00	-99.00	-99.00	17.00	15.61	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.22	-99.00	-99.00	18.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	20.72
1903.96	-99.00	-99.00	-99.00	-99.00	-99.00	17.17	15.17	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.39	-99.00	-99.00	13.83	-99.00	-99.00	-99.00	-99.00	17.11	-99.00	-99.00	-99.00	-99.00	19.61
1904.04	-99.00	-99.00	-99.00	-99.00	-99.00	17.33	15.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.22	-99.00	-99.00	13.11	-99.00	-99.00	-99.00	-99.00	17.67	-99.00	-99.00	-99.00	-99.00	18.44
1904.13	-99.00	-99.00	-99.00	-99.00	-99.00	17.39	16.06	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.50	-99.00	-99.00	13.78	-99.00	-99.00	-99.00	-99.00	21.78	-99.00	-99.00	-99.00	-99.00	20.06
1904.21	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.28	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.28	-99.00	-99.00	13.33	-99.00	-99.00	-99.00	-99.00	19.28	-99.00	-99.00	-99.00	-99.00	20.17
1904.29	-99.00	-99.00	-99.00	-99.00	-99.00	17.50	15.39	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.39	-99.00	-99.00	13.28	-99.00	-99.00	-99.00	-99.00	17.61	-99.00	-99.00	-99.00	-99.00	19.94
1904.38	-99.00	-99.00	-99.00	-99.00	-99.00	17.56	15.67	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.33	-99.00	-99.00	13.50	-99.00	-99.00	-99.00	-99.00	20.44	-99.00	-99.00	-99.00	-99.00	20.56
1904.46	-99.00	-99.00	-99.00	-99.00	-99.00	17.17	15.67	17.17	-99.00	-99.00	16.94	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.00	-99.00	-99.00	12.89	-99.00	-99.00	-99.00	-99.00	19.39	-99.00	-99.00	-99.00	-99.00	19.72
1904.54	-99.00	-99.00	-99.00	-99.00	-99.00	16.39	15.61	18.50	-99.00	-99.00	16.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	14.67	-99.00	-99.00	12.89	-99.00	-99.00	-99.00	-99.00	18.56	-99.00	-99.00	-99.00	-99.00	22.11
1904.63	-99.00	-99.00	-99.00	-99.00	-99.00	16.72	15.56	19.39	-99.00	-99.00	15.94	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.17	-99.00	-99.00	14.28	-99.00	-99.00	-99.00	-99.00	18.56	-99.00	-99.00	-99.00	-99.00	19.28
1904.71	-99.00	-99.00	-99.00	-99.00	-99.00	16.94	15.50	32.39	-99.00	-99.00	16.44	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.28	-99.00	-99.00	13.56	-99.00	-99.00	-99.00	-99.00	18.06	-99.00	-99.00	-99.00	-99.00	17.67
1904.79	-99.00	-99.00	-99.00	-99.00	-99.00	16.78	15.39	19.61	-99.00	-99.00	16.72	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.17	-99.00	-99.00	14.78	-99.00	-99.00	-99.00	-99.00	18.22	-99.00	-99.00	-99.00	-99.00	19.11
1904.88	-99.00	-99.00	-99.00	-99.00	-99.00	16.83	15.28	19.94	-99.00	-99.00	17.39	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.56	-99.00	-99.00	11.50	-99.00	-99.00	-99.00	-99.00	16.89	-99.00	-99.00	-99.00	-99.00	19.06
1904.96	-99.00	-99.00	-99.00	-99.00	-99.00	16.89	15.44	17.94	-99.00	-99.00	16.72	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.39	-99.00	-99.00	10.44	-99.00	-99.00	-99.00	-99.00	15.11	-99.00	-99.00	-99.00	-99.00	18.11
1905.04	-99.00	-99.00	-99.00	-99.00	-99.00	17.78	16.06	19.39	-99.00	-99.00	17.56	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.56	-99.00	-99.00	11.28	-99.00	-99.00	-99.00	-99.00	17.28	-99.00	-99.00	-99.00	-99.00	19.83
1905.13	-99.00	-99.00	-99.00	-99.00	-99.00	17.67	15.61	19.78	-99.00	-99.00	17.50	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.50	-99.00	-99.00	11.78	-99.00	-99.00	-99.00	-99.00	16.44	-99.00	-99.00	-99.00	-99.00	19.39
1905.21	-99.00	-99.00	-99.00	-99.00	-99.00	18.39	16.83	22.39	-99.00	-99.00	18.39	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	16.33	-99.00	-99.00	12.22	-99.00	-99.00	-99.00	-99.00	21.39	-99.00	-99.00	-99.00	-99.00	21.72
1905.29	-99.00	-99.00	-99.00	-99.00	-99.00	18.28	16.89	22.17	-99.00	-99.00	18.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.72	-99.00	-99.00	11.94	-99.00	-99.00	-99.00	-99.00	20.22	-99.00	-99.00	-99.00	-99.00	20.50
1905.38	-99.00	-99.00	-99.00	-99.00	-99.00	17.83	-99.00	22.00	-99.00	-99.00	18.11	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	15.39	-99.00	-99.00	10.61	-99.00	-99.00	-99.00	-99.00	20.50	-99.00	-99.00	-99.00	-99.00	20.17
