Source_ID,rowid,Source_Table,spending_source,spending_source_id,spending_source_type_id,spending_source_type_label,recipient,GOU Vote,Vote Name,Agency Name,Agency Details (where relevant),Project Code,Project Name,Programme Code,Programme Name,Aid_Programme_Code,Aid_Programme_Name,DONOR COA CODE,Donor name,Donorref,MTEF Sector,MTEF Reference,Sector strategy or policy,Details of sector policy or strategy,Aid Modality,Type of Project-Basket,GRANT-LOAN,On-Off Budget,PAF,SWG,Sector Objective,sector,subsector,PEAP Pillar,PEAP Objective,PEAP Area,DP,GOU,amount,amount_dollars,amount_donor,spending_type,donorcurrency,orderofmagnitude,Year,SIGNDATE,START DATE,CLOSE DATE,Financecomment,bs_offset
,1,Wage_Recurrent,President's Office,1,1,Government of Uganda,Society (Uganda),1,President's Office,,,,,1,Finance and Administration,,,,,,Public Administration,001 Office of the President (excluding Ethics & Integrity),,,,,,,NON PAF,Public Administration,A strong Presidency and Cabinet,Public Administration,Presidency & Cabinet,4. Good Governance,4.1 Strengthened Political Governance,"4.1a Democracy,  Political Parties, and Civic Education",,,0,0,0,Commitment,,,2003,,,,,0
,2,Wage_Recurrent,President's Office,1,1,Government of Uganda,Society (Uganda),1,President's Office,,,,,1,Finance and Administration,,,,,,Public Administration,001 Office of the President (excluding Ethics & Integrity),,,,,,,NON PAF,Public Administration,A strong Presidency and Cabinet,Public Administration,Presidency & Cabinet,4. Good Governance,4.1 Strengthened Political Governance,"4.1a Democracy,  Political Parties, and Civic Education",,,0,0,0,Disbursement,,,2003,,,,,0
,3,Wage_Recurrent,President's Office,1,1,Government of Uganda,Society (Uganda),1,President's Office,,,,,1,Finance and Administration,,,,,,Public Administration,001 Office of the President (excluding Ethics & Integrity),,,,,,,NON PAF,Public Administration,A strong Presidency and Cabinet,Public Administration,Presidency & Cabinet,4. Good Governance,4.1 Strengthened Political Governance,"4.1a Democracy,  Political Parties, and Civic Education",,,0,0,0,Commitment,,,2004,,,,,0
,4,Wage_Recurrent,President's Office,1,1,Government of Uganda,Society (Uganda),1,President's Office,,,,,1,Finance and Administration,,,,,,Public Administration,001 Office of the President (excluding Ethics & Integrity),,,,,,,NON PAF,Public Administration,A strong Presidency and Cabinet,Public Administration,Presidency & Cabinet,4. Good Governance,4.1 Strengthened Political Governance,"4.1a Democracy,  Political Parties, and Civic Education",,,4.217486E9,2337852.54989,0,Disbursement,,,2004,,,,,0
,5,Wage_Recurrent,President's Office,1,1,Government of Uganda,Society (Uganda),1,President's Office,,,,,1,Finance and Administration,,,,,,Public Administration,001 Office of the President (excluding Ethics & Integrity),,,,,,,NON PAF,Public Administration,A strong Presidency and Cabinet,Public Administration,Presidency & Cabinet,4. Good Governance,4.1 Strengthened Political Governance,"4.1a Democracy,  Political Parties, and Civic Education",,,0,0,0,Commitment,,,2005,,,,,0
,6,Wage_Recurrent,President's Office,1,1,Government of Uganda,Society (Uganda),1,President's Office,,,,,1,Finance and Administration,,,,,,Public Administration,001 Office of the President (excluding Ethics & Integrity),,,,,,,NON PAF,Public Administration,A strong Presidency and Cabinet,Public Administration,Presidency & Cabinet,4. Good Governance,4.1 Strengthened Political Governance,"4.1a Democracy,  Political Parties, and Civic Education",,,0,0,0,Disbursement,,,2005,,,,,0
,7,Wage_Recurrent,President's Office,1,1,Government of Uganda,Society (Uganda),1,President's Office,,,,,1,Finance and Administration,,,,,,Public Administration,001 Office of the President (excluding Ethics & Integrity),,,,,,,NON PAF,Public Administration,A strong Presidency and Cabinet,Public Administration,Presidency & Cabinet,4. Good Governance,4.1 Strengthened Political Governance,"4.1a Democracy,  Political Parties, and Civic Education",,,4.851758E9,2727238.89826,0,Commitment,,,2006,,,,,0
,8,Wage_Recurrent,President's Office,1,1,Government of Uganda,Society (Uganda),1,President's Office,,,,,1,Finance and Administration,,,,,,Public Administration,001 Office of the President (excluding Ethics & Integrity),,,,,,,NON PAF,Public Administration,A strong Presidency and Cabinet,Public Administration,Presidency & Cabinet,4. Good Governance,4.1 Strengthened Political Governance,"4.1a Democracy,  Political Parties, and Civic Education",,,0,0,0,Disbursement,,,2006,,,,,0
,9,Wage_Recurrent,President's Office,1,1,Government of Uganda,Society (Uganda),1,President's Office,,,,,2,Ethics and Good Governance,,,,,,Accountability,001 Ethics and Integrity (Office of the President),,,,,,,PAF,Accountability,Increased Integrity and reduced Corruption,Accountability (Anti-Corruption & PFM),Integrity and Anti-Corruption,4. Good Governance,4.4 Strengthened Public Sector Management & Accountability,4.4d Anti-Corruption,,,0,0,0,Commitment,,,2003,,,,,0
,10,Wage_Recurrent,President's Office,1,1,Government of Uganda,Society (Uganda),1,President's Office,,,,,2,Ethics and Good Governance,,,,,,Accountability,001 Ethics and Integrity (Office of the President),,,,,,,PAF,Accountability,Increased Integrity and reduced Corruption,Accountability (Anti-Corruption & PFM),Integrity and Anti-Corruption,4. Good Governance,4.4 Strengthened Public Sector Management & Accountability,4.4d Anti-Corruption,,,0,0,0,Disbursement,,,2003,,,,,0
