GID,Private,Tree ID,Admin Area,Side of Street,On Street,From Street,To Street,Street_Name,Situs Number,Address Estimated,Lot Side,Serial Number,Tree Site,Species,Trim Cycle,Diameter at Breast Ht,Trunk Count,Height Code,Canopy Width,Trunk Condition,Structure Condition,Crown Condition,Pest Condition,Condition Calced,Condition Rating,Vigor,Cable Presence,Stake Presence,Grow Space,Utility Presence,Distance from Property,Inventory Date,Staff Name,Comments,Zip,City Name,Longitude,Latitude,Protected,Designated,Heritage,Appraised Value,Hardscape,Identifier,Location Feature ID,Install Date,Feature Name,KML,FusionMarkerIcon
1,True,29,,,ADDISON AV,EMERSON ST,RAMONA ST,ADDISON AV,203,,Front,,2,Celtis australis,Large Tree Routine Prune,11,1,25-30,15-30,,Good,5,,,Good,2,False,False,Planting Strip,,44,10/18/2010,BK,,,Palo Alto,-122.1565172,37.4409561,False,False,False,,None,40,13872,,"Tree: 29 site 2 at 203 ADDISON AV, on ADDISON AV 44 from pl","<Point><coordinates>-122.156485,37.440963</coordinates></Point>",small_green
2,True,30,,,EMERSON ST,CHANNING AV,ADDISON AV,ADDISON AV,203,,Left,,1,Liquidambar styraciflua,Large Tree Routine Prune,11,1,50-55,15-30,Good,Good,5,,,Good,2,False,False,Planting Strip,,21,6/2/2010,BK,,,Palo Alto,-122.1567812,37.440951,False,False,False,,None,41,13872,,"Tree: 30 site 1 at 203 ADDISON AV, on EMERSON ST 21 from pl","<Point><coordinates>-122.156749,37.440958</coordinates></Point>",small_green
3,True,31,,,EMERSON ST,CHANNING AV,ADDISON AV,ADDISON AV,203,,Left,,2,Liquidambar styraciflua,Large Tree Routine Prune,11,1,40-45,15-30,Good,Good,5,,,Good,2,False,False,Planting Strip,,54,6/2/2010,BK,,,Palo Alto,-122.1566921,37.4408948,False,False,False,,Low,42,13872,,"Tree: 31 site 2 at 203 ADDISON AV, on EMERSON ST 54 from pl","<Point><coordinates>-122.156659,37.440902</coordinates></Point>",small_green
4,True,32,,,ADDISON AV,EMERSON ST,RAMONA ST,ADDISON AV,209,,Front,,1,Ulmus parvifolia,Large Tree Routine Prune,18,1,35-40,30-45,Good,Good,5,,,Good,2,False,False,Planting Strip,,21,6/2/2010,BK,,,Palo Alto,-122.1564595,37.4410143,False,False,False,,Medium,43,13873,,"Tree: 32 site 1 at 209 ADDISON AV, on ADDISON AV 21 from pl","<Point><coordinates>-122.156427,37.441022</coordinates></Point>",small_green
5,True,33,,,ADDISON AV,EMERSON ST,RAMONA ST,ADDISON AV,219,,Front,,1,Eriobotrya japonica,Large Tree Routine Prune,7,1,15-20,0-15,Good,Good,3,,,Good,1,False,False,Planting Strip,,16,6/1/2010,BK,,,Palo Alto,-122.1563676,37.441107,False,False,False,,None,44,13874,,"Tree: 33 site 1 at 219 ADDISON AV, on ADDISON AV 16 from pl","<Point><coordinates>-122.156335,37.441114</coordinates></Point>",small_green
6,True,34,,,ADDISON AV,EMERSON ST,RAMONA ST,ADDISON AV,219,,Front,,2,Robinia pseudoacacia,Large Tree Routine Prune,29,1,50-55,30-45,Poor,Poor,5,,,Good,2,False,False,Planting Strip,,33,6/1/2010,BK,cavity or decay; trunk decay; codominant leaders; included bark; large leader or limb decay; previous failure root damage; root decay;  beware of BEES.,,Palo Alto,-122.1563313,37.4411436,False,False,False,,None,45,13874,,"Tree: 34 site 2 at 219 ADDISON AV, on ADDISON AV 33 from pl","<Point><coordinates>-122.156299,37.441151</coordinates></Point>",small_green
7,True,35,,,ADDISON AV,EMERSON ST,RAMONA ST,ADDISON AV,225,,Front,,1,Acer negundo,Large Tree Routine Prune,29,1,35-40,45-60,Poor,Poor,5,,,Good,2,False,False,Planting Strip,,28,6/1/2010,BK,root damage; root decay; cavity or decay; trunk decay; growing into sidewalk;,,Palo Alto,-122.1562544,37.4412212,False,False,False,,None,46,13875,,"Tree: 35 site 1 at 225 ADDISON AV, on ADDISON AV 28 from pl","<Point><coordinates>-122.156222,37.441229</coordinates></Point>",small_green
8,True,36,,,RAMONA ST,CHANNING AV,ADDISON AV,ADDISON AV,233,,Right,,1,Prunus cerasifera,Large Tree Routine Prune,6,4,25-30,15-30,Fair,Fair,5,,,Good,2,False,False,Planting Strip,,50,6/1/2010,BK,branch wounds; codominant leaders;,,Palo Alto,-122.1562685,37.4414506,False,False,False,,Low,47,7,,"Tree: 36 site 1 at 233 ADDISON AV, on RAMONA ST 50 from pl","<Point><coordinates>-122.156236,37.441458</coordinates></Point>",small_green
9,True,37,,,RAMONA ST,CHANNING AV,ADDISON AV,ADDISON AV,233,,Right,,2,Crataegus laevigata,Priority 3 Removal,10,1,20-25,15-30,Poor,Poor,5,,,Fair,2,False,False,Planting Strip,,42,6/1/2010,BK,pest problem;  termites; cavity or decay; trunk decay; large leader or limb decay;,,Palo Alto,-122.1562469,37.4414369,False,False,False,,None,48,7,,"Tree: 37 site 2 at 233 ADDISON AV, on RAMONA ST 42 from pl","<Point><coordinates>-122.156214,37.441444</coordinates></Point>",small_green
10,True,38,,,RAMONA ST,CHANNING AV,ADDISON AV,ADDISON AV,233,,Right,,3,Quercus ilex,Large Tree Routine Prune,14,1,25-30,15-30,Fair,Fair,5,,,Good,2,False,False,Planting Strip,,12,6/1/2010,BK,trunk wounds; trunk decay;,,Palo Alto,-122.1561658,37.4413859,False,False,False,,None,49,7,,"Tree: 38 site 3 at 233 ADDISON AV, on RAMONA ST 12 from pl","<Point><coordinates>-122.156133,37.441393</coordinates></Point>",small_green
