Transparency Q2 - 01.07.11 to 30.09.11 as at 28.10.11,,,,,
Name,Payment category,Amount,Department,Document no.,Post code
BT PLC,Other Adult Services,£512,Adult Social Care,3000269947,NE82
BT PLC,Other Adult Services,£852,Adult Social Care,3000273507,NE82
BT PLC,ICT Unit,"£23,705",Corporate Resources,4500528116,NE82
BT PLC,ICT Unit,"£79,149",Corporate Resources,4500530494,NE82
BT PLC,Street Lighting & Traffic Signals,"£4,832","Economy, Transport & Environment",4500533767,NE82
BT PLC,External Funds,"£1,035",Children's Services,4500533977,NE82
BT PLC,ICT Unit,"£42,292",Corporate Resources,4500538695,NE82
BT PLC,External Funds,£581,Children's Services,4500540268,NE82
JIGSAW DAY NURSERY,Strategic Costs CSA,"£10,408",Children's Services,3000273246,TN38
JIGSAW DAY NURSERY,Strategic Costs GSSG,"£1,358",Children's Services,3000275259,TN38
HSBC INVOICE FINANCE (UK) LTD,Projects,£600,Corporate Resources,4500525919,BN11
HSBC INVOICE FINANCE (UK) LTD,Looked after children,£690,Children's Services,4500529408,BN11
HSBC INVOICE FINANCE (UK) LTD,Training,"£1,224",Governance & Community Services,4500530124,BN11
HSBC INVOICE FINANCE (UK) LTD,Looked after children,£524,Children's Services,4500530398,BN11
HSBC INVOICE FINANCE (UK) LTD,Looked after children,"£1,245",Children's Services,4500530399,BN11
HSBC INVOICE FINANCE (UK) LTD,Looked after children,"£1,574",Children's Services,4500530400,BN11
HSBC INVOICE FINANCE (UK) LTD,Looked after children,"£1,365",Children's Services,4500530412,BN11
HSBC INVOICE FINANCE (UK) LTD,Looked after children,"£3,402",Children's Services,4500531641,BN11
HSBC INVOICE FINANCE (UK) LTD,Looked after children,"£1,350",Children's Services,4500532272,BN11
HSBC INVOICE FINANCE (UK) LTD,Looked after children,"£1,785",Children's Services,4500532275,BN11
HSBC INVOICE FINANCE (UK) LTD,Looked after children,"£5,459",Children's Services,4500532565,BN11
HSBC INVOICE FINANCE (UK) LTD,Looked after children,"£1,574",Children's Services,4500532723,BN11
HSBC INVOICE FINANCE (UK) LTD,Looked after children,"£1,140",Children's Services,4500532724,BN11
HSBC INVOICE FINANCE (UK) LTD,Looked after children,"£1,005",Children's Services,4500532726,BN11
HSBC INVOICE FINANCE (UK) LTD,Looked after children,£945,Children's Services,4500532729,BN11
HSBC INVOICE FINANCE (UK) LTD,Projects,"£2,640",Corporate Resources,4500533183,BN11
HSBC INVOICE FINANCE (UK) LTD,Looked after children,"£1,920",Children's Services,4500534850,BN11
HSBC INVOICE FINANCE (UK) LTD,Looked after children,"£1,320",Children's Services,4500535238,BN11
HSBC INVOICE FINANCE (UK) LTD,Looked after children,"£1,680",Children's Services,4500535240,BN11
HSBC INVOICE FINANCE (UK) LTD,West FST Teams,£540,Children's Services,4500535523,BN11
HSBC INVOICE FINANCE (UK) LTD,Projects,"£1,428",Corporate Resources,4500536669,BN11
HSBC INVOICE FINANCE (UK) LTD,Projects,"£1,428",Corporate Resources,4500536670,BN11
HSBC INVOICE FINANCE (UK) LTD,Looked after children,"£5,140",Children's Services,4500537466,BN11
HSBC INVOICE FINANCE (UK) LTD,Projects,£674,Corporate Resources,4500538822,BN11
HSBC INVOICE FINANCE (UK) LTD,Projects,"£10,530",Corporate Resources,4500538823,BN11
HSBC INVOICE FINANCE (UK) LTD,Projects,"£2,490",Corporate Resources,4500538825,BN11
HSBC INVOICE FINANCE (UK) LTD,Looked after children,"£4,095",Children's Services,4500539829,BN11
HSBC INVOICE FINANCE (UK) LTD,Looked after children,"£3,255",Children's Services,4500539835,BN11
HSBC INVOICE FINANCE (UK) LTD,Projects,"£6,354",Corporate Resources,4500540815,BN11
HSBC INVOICE FINANCE (UK) LTD,Looked after children,"£1,211",Children's Services,4500540964,BN11
