Bureau of Labor Statistics,,,,,,,,,
On behalf of the Standard Occupational Classification Policy Committee (SOCPC),,,,,,,,,
,,,,,,,,,
January 2009,,,,,,,,,
*** This is the final structure for the 2010 SOC.   Questions should be emailed to soc@bls.gov***,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,2010 Standard Occupational Classification,,,,,,,,
,,,,,,,,,
Major Group,Minor Group,Broad Group,Detailed Occupation,,,,,,
,,,,,,,,,
11-0000,,,,Management Occupations,,,,,
,11-1000,,,Top Executives,,,,,
,,11-1010,,Chief Executives,,,,,
,,,11-1011,Chief Executives,,,,,
,,11-1020,,General and Operations Managers,,,,,
,,,11-1021,General and Operations Managers,,,,,
,,11-1030,,Legislators,,,,,
,,,11-1031,Legislators,,,,,
,11-2000,,,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",,,,,
,,11-2010,,Advertising and Promotions Managers,,,,,
,,,11-2011,Advertising and Promotions Managers,,,,,
,,11-2020,,Marketing and Sales Managers,,,,,
,,,11-2021,Marketing Managers,,,,,
,,,11-2022,Sales Managers,,,,,
,,11-2030,,Public Relations and Fundraising Managers,,,,,
,,,11-2031,Public Relations and Fundraising Managers,,,,,
,11-3000,,,Operations Specialties Managers,,,,,
,,11-3010,,Administrative Services Managers,,,,,
,,,11-3011,Administrative Services Managers,,,,,
,,11-3020,,Computer and Information Systems Managers,,,,,
,,,11-3021,Computer and Information Systems Managers,,,,,
,,11-3030,,Financial Managers,,,,,
,,,11-3031,Financial Managers,,,,,
,,11-3050,,Industrial Production Managers,,,,,
,,,11-3051,Industrial Production Managers,,,,,
,,11-3060,,Purchasing Managers,,,,,
,,,11-3061,Purchasing Managers,,,,,
,,11-3070,,"Transportation, Storage, and Distribution Managers",,,,,
,,,11-3071,"Transportation, Storage, and Distribution Managers",,,,,
,,11-3110,,Compensation and Benefits Managers,,,,,
,,,11-3111,Compensation and Benefits Managers,,,,,
,,11-3120,,Human Resources Managers,,,,,
,,,11-3121,Human Resources Managers,,,,,
,,11-3130,,Training and Development Managers,,,,,
,,,11-3131,Training and Development Managers,,,,,
,11-9000,,,Other Management Occupations,,,,,
,,11-9010,,"Farmers, Ranchers, and Other Agricultural Managers",,,,,
,,,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",,,,,
,,11-9020,,Construction Managers,,,,,
,,,11-9021,Construction Managers,,,,,
,,11-9030,,Education Administrators,,,,,
,,,11-9031,"Education Administrators, Preschool and Childcare Center/Program",,,,,
,,,11-9032,"Education Administrators, Elementary and Secondary School",,,,,
,,,11-9033,"Education Administrators, Postsecondary",,,,,
,,,11-9039,"Education Administrators, All Other",,,,,
,,11-9040,,Architectural and Engineering Managers,,,,,
,,,11-9041,Architectural and Engineering Managers,,,,,
,,11-9050,,Food Service Managers,,,,,
,,,11-9051,Food Service Managers,,,,,
,,11-9060,,Funeral Service Managers,,,,,
,,,11-9061,Funeral Service Managers,,,,,
,,11-9070,,Gaming Managers,,,,,
,,,11-9071,Gaming Managers,,,,,
,,11-9080,,Lodging Managers,,,,,
,,,11-9081,Lodging Managers,,,,,
,,11-9110,,Medical and Health Services Managers,,,,,
,,,11-9111,Medical and Health Services Managers,,,,,
,,11-9120,,Natural Sciences Managers,,,,,
,,,11-9121,Natural Sciences Managers,,,,,
,,11-9130,,Postmasters and Mail Superintendents,,,,,
,,,11-9131,Postmasters and Mail Superintendents,,,,,
,,11-9140,,"Property, Real Estate, and Community Association Managers",,,,,
,,,11-9141,"Property, Real Estate, and Community Association Managers",,,,,
,,11-9150,,Social and Community Service Managers,,,,,
,,,11-9151,Social and Community Service Managers,,,,,
,,11-9160,,Emergency Management Directors,,,,,
,,,11-9161,Emergency Management Directors,,,,,
,,11-9190,,Miscellaneous Managers,,,,,
,,,11-9199,"Managers, All Other",,,,,
13-0000,,,,Business and Financial Operations Occupations,,,,,
,13-1000,,,Business Operations Specialists,,,,,
,,13-1010,,"Agents and Business Managers of Artists, Performers, and Athletes",,,,,
,,,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",,,,,
,,13-1020,,Buyers and Purchasing Agents,,,,,
,,,13-1021,"Buyers and Purchasing Agents, Farm Products",,,,,
,,,13-1022,"Wholesale and Retail Buyers, Except Farm Products",,,,,
,,,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",,,,,
,,13-1030,,"Claims Adjusters, Appraisers, Examiners, and Investigators",,,,,
,,,13-1031,"Claims Adjusters, Examiners, and Investigators",,,,,
,,,13-1032,"Insurance Appraisers, Auto Damage",,,,,
,,13-1040,,Compliance Officers,,,,,
,,,13-1041,Compliance Officers,,,,,
,,13-1050,,Cost Estimators,,,,,
,,,13-1051,Cost Estimators,,,,,
,,13-1070,,Human Resources Workers,,,,,
,,,13-1071,Human Resources Specialists,,,,,
,,,13-1074,Farm Labor Contractors,,,,,
